image_size,batch,status,latency_s,memory_bytes,energy_j,mean_power_w,predicted_memory_bytes,is_validation,warmup_repeats,latency_repeats,energy_repeats,energy_duration_s,power_samples,power_unique_values,error
192,4,ok,0.0010030639999740742,24964096.0,0.07532115523267655,67.40368686868689,15387968.0,1,10,7,2991,3.3423331239999925,99,22,
192,8,ok,0.0019948469999917506,36172288.0,0.14406930586757932,66.8177340425532,26594624.0,0,10,7,1504,3.2428551959999936,94,27,
192,16,ok,0.004113544000006186,58588672.0,0.27642501007817283,66.88603409090909,49007936.0,0,10,7,730,3.016926629000011,88,27,
192,32,ok,0.00738792600003535,133559808.0,0.5038122149293871,68.2917951807229,93834560.0,0,10,7,407,3.0025798989999544,83,24,
192,64,ok,0.014753589000065404,250759168.0,1.0019436302100555,68.76089534883722,183487808.0,0,10,7,204,2.9725689220000504,86,22,
192,102,ok,0.034743435999985195,413221888.0,2.3966614536341693,67.9463023255814,289951040.0,1,10,7,87,3.0687401569999793,86,20,
192,128,ok,0.04248248099997909,484101120.0,2.9238076030012117,68.07038095238097,362794304.0,0,10,7,71,3.0496426920000204,84,22,
192,178,ok,0.062048873999970056,701889536.0,4.271356211622237,68.69653086419754,502877504.0,0,10,7,49,3.04668156799994,81,28,
192,244,ok,0.08483739400003287,937452032.0,5.787288208789765,68.16872151898734,687787328.0,0,10,7,36,3.0562752370000226,79,27,
192,256,ok,0.08732551100001729,953381888.0,6.027111247836306,68.35297530864197,721407296.0,0,10,7,35,3.086169881000046,81,30,
224,1,ok,0.0009882210000569103,18725888.0,0.059316674163399925,68.46199999999999,7994688.0,1,10,7,3036,2.6304434980000906,76,26,
224,2,ok,0.0008618159999969066,21440512.0,0.057609964087811626,67.61331818181817,11808064.0,0,10,7,3482,2.966839971000013,88,22,
224,4,ok,0.0014058770000247023,29010944.0,0.10306644038117095,67.62124999999999,19434816.0,0,10,7,2134,3.2525838220000196,96,27,
224,8,ok,0.0028868599999896105,44265984.0,0.1993044500726245,66.80953333333332,34688320.0,0,10,7,1040,3.102500761999977,90,23,
224,16,ok,0.005658293999999842,75234816.0,0.3762514689393467,67.43410843373495,65195328.0,0,10,7,531,2.9627370279999923,83,27,
224,32,ok,0.010435224000048038,174712320.0,0.7212906405693309,69.20985714285715,126209344.0,1,10,7,288,3.001475701000004,84,24,
224,64,ok,0.020047038999905453,334907392.0,1.3835700972876477,69.39792045454546,248237376.0,0,10,7,150,2.9905148919999647,88,20,
224,102,ok,0.047683188999940285,555576320.0,3.2975982862716995,68.15689285714286,393145664.0,0,10,7,63,3.048095112999931,84,21,
224,128,ok,0.05765186199994332,654486528.0,3.9952027415081055,68.36267073170733,492293440.0,0,10,7,53,3.097388429000034,82,24,
224,178,ok,0.08454855299999053,947723264.0,5.799055924124818,68.3857594936709,682962240.0,0,10,7,36,3.052770267000028,79,28,
224,244,ok,0.11553281299995888,1270391296.0,7.938647887582703,68.71735064935065,934645056.0,1,10,7,26,3.003678738000076,77,29,
224,256,ok,0.12139715500006787,1293120512.0,8.275568453596101,68.1782894736842,980405568.0,0,10,7,25,3.034532150000018,76,26,
256,1,ok,0.0008652120000078867,19525120.0,0.05776160946360091,66.65010227272727,9162048.0,0,10,7,3468,3.0055056900000636,88,31,
256,2,ok,0.0008539890000065498,23848960.0,0.06565110848619961,67.62006000000001,14142784.0,0,10,7,3513,3.410708954000029,100,28,
256,4,ok,0.001755011000000195,33680384.0,0.12403417789098148,66.90134408602151,24104256.0,0,10,7,1710,3.1703166370000417,93,22,
256,8,ok,0.003585917000009431,53604864.0,0.2489508169466448,67.39814444444443,44027200.0,1,10,7,837,3.091655349000007,90,27,
256,16,ok,0.006757167000046138,119348736.0,0.4493551037517822,67.84816279069766,83873088.0,0,10,7,444,2.940590545999953,86,23,
256,32,ok,0.012906392999980199,223557120.0,0.886496587504142,68.82414942528737,163564864.0,0,10,7,233,3.001180641000019,87,22,
256,64,ok,0.024938818000009633,431974400.0,1.7434274019008242,69.15261363636363,322948416.0,0,10,7,121,3.050567499000067,88,22,
256,102,ok,0.0597330210000564,721003520.0,4.149630248972969,68.36111904761906,512216384.0,0,10,7,51,3.095782305000057,84,25,
256,128,ok,0.07203967999998895,848808960.0,5.016782053764754,68.2248375,641715520.0,1,10,7,42,3.0883891260000382,80,27,
256,178,ok,0.10411758299994744,1233320960.0,7.2478936340709845,69.74508860759494,890752320.0,0,10,7,29,3.0136733580000055,79,24,
256,244,ok,0.1419781370000237,1655923200.0,9.761252747062487,68.71179268292683,1219480896.0,0,10,7,22,3.1253377629999477,82,25,
256,256,ok,0.14771511799995096,1683190784.0,10.116455021895842,68.68223170731706,1279249728.0,0,10,7,21,3.093166168000039,82,23,
272,1,ok,0.0008853780000208644,19964416.0,0.05586849425904695,66.1645731707317,9804096.0,0,10,7,3389,2.8616269700000885,82,29,
272,2,ok,0.0008770389999881445,25001984.0,0.07330805028114522,66.6274642857143,15426880.0,1,10,7,3421,3.764015975999996,112,27,
272,4,ok,0.0019639780000488827,36248576.0,0.14115455362213186,66.47247368421053,26672448.0,0,10,7,1528,3.24471387899996,95,19,
272,8,ok,0.004081332999930964,58741248.0,0.2791686869444736,67.0001011235955,49163584.0,0,10,7,736,3.066684230999954,89,19,
272,16,ok,0.007585262000020521,125312512.0,0.5131104263517354,68.2451395348837,94145856.0,0,10,7,396,2.9773802240000578,86,23,
272,32,ok,0.014811438999913662,234239488.0,1.0229534632829853,69.47062068965518,184110400.0,0,10,7,203,2.9891708319998997,87,17,
272,64,ok,0.029275618000042414,451438592.0,2.0380475400724727,69.40029411764706,364039488.0,1,10,7,103,3.0247551439999825,85,19,
272,102,ok,0.07067761899998004,752024576.0,4.891722852001231,68.60198795180723,577705280.0,0,10,7,43,3.066151418000004,83,27,
272,128,ok,0.08519411100007801,887737344.0,5.96426166181016,68.77493827160494,723897664.0,0,10,7,36,3.1219718290000174,81,24,
272,178,ok,0.12162039399993319,1286931456.0,8.459965039211921,69.28772727272727,1005036864.0,0,10,7,25,3.052476019999972,77,26,
272,244,ok,0.1682307049999281,1729081856.0,11.54053581072886,68.58773076923077,1376140608.0,0,10,7,18,3.0286706129999175,78,27,
272,256,ok,0.17497275699997772,1761047552.0,11.968033671093316,68.35915,1443614016.0,1,10,7,18,3.1513646099999733,80,27,
384,1,ok,0.001218782000023566,24962560.0,0.07435771744421465,66.69325,15387968.0,0,10,7,2462,2.7449359619999996,80,15,
384,2,ok,0.0019386660000009215,36169728.0,0.14107916883600108,66.92371578947368,26594624.0,0,10,7,1548,3.263275967000027,95,17,
384,4,ok,0.0039804740000590755,58584064.0,0.2694386983494643,66.87976136363636,49007936.0,0,10,7,754,3.0376420970000027,88,29,
384,8,ok,0.007962757999962378,103936512.0,0.5370595030605091,68.05995294117646,93834560.0,0,10,7,377,2.9748982170000318,85,24,
384,16,ok,0.014690120000068418,227671552.0,0.9935898455008909,69.0028604651163,183487808.0,1,10,7,205,2.951847458999964,86,18,
384,32,ok,0.028340606000028856,436299264.0,1.9471377469060704,68.99289411764707,362794304.0,0,10,7,106,2.9915631719999283,85,25,
384,64,ok,0.05644838099999561,857458688.0,3.889667817856854,69.04128235294117,721407296.0,0,10,7,54,3.0422676839999667,85,21,
384,102,ok,0.13466212599996652,1436109824.0,9.308279336997327,67.9689756097561,1147260224.0,0,10,7,23,3.1498256790000596,82,24,
384,128,ok,0.16368525300003967,1699916800.0,11.354621169804972,68.37004878048779,1438633280.0,0,10,7,19,3.1554431519999753,82,26,
384,178,ok,0.23587041600001157,2468674560.0,16.038035787242702,67.89523456790124,1998966080.0,1,10,7,13,3.0708262010000453,81,24,
384,244,ok,0.3239019830000416,3320971776.0,22.127793853397556,68.18039325842697,2738605376.0,0,10,7,10,3.245477592000043,89,24,
384,256,ok,0.33575168800007305,3384415232.0,23.076509520622075,68.42988764044944,2873085248.0,0,10,7,10,3.3722851689999516,89,32,
480,1,ok,0.00178485300000375,31266304.0,0.11340244379226608,67.08465060240965,21691712.0,0,10,7,1681,2.841626308000059,83,23,
480,2,ok,0.003145387000017763,48777216.0,0.21962818008840904,66.48758426966292,39202112.0,0,10,7,954,3.151344512000037,89,28,
480,4,ok,0.006296862999988662,83799040.0,0.4245822708280816,68.12936046511626,74222912.0,1,10,7,477,2.9726646750000327,86,28,
480,8,ok,0.012143916000013633,154792448.0,0.8401905392552321,68.52688636363636,144264512.0,0,10,7,248,3.0406642529999317,88,20,
480,16,ok,0.022779410999987704,351993344.0,1.5718713272960976,69.45520930232558,284347712.0,0,10,7,132,2.9873499380000794,86,27,
480,32,ok,0.04522717099996498,688133632.0,3.0954892575589286,69.20701176470591,564514112.0,0,10,7,67,2.996774097999946,85,27,
480,64,ok,0.08921398399991176,1360414720.0,6.170253023920577,68.45360975609753,1124846912.0,0,10,7,34,3.064682834999985,82,27,
480,102,ok,0.21592986100006328,2285888512.0,14.923918444675781,68.17641250000001,1790242112.0,1,10,7,14,3.0646208939999724,80,28,
480,128,ok,0.26314220300002944,2705509376.0,18.137179911927497,68.4085357142857,2245512512.0,0,10,7,12,3.1815643569999565,84,27,
480,178,ok,0.37985479299993585,3934477312.0,26.067798898172033,68.355213592233,3121032512.0,0,10,7,10,3.8135787349999646,103,33,
480,244,ok,0.5205317669999658,5295964672.0,35.71875398265156,68.50542446043166,4276718912.0,0,10,7,10,5.2140037469999925,139,37,
480,256,ok,0.5403467639999917,5395878912.0,37.01586144057321,68.31724305555556,4486843712.0,0,10,7,10,5.418231149999997,144,35,
512,1,ok,0.0018815369999174436,33678848.0,0.1247567164487171,66.79202298850576,24104256.0,1,10,7,1595,2.9792025129999047,87,28,
512,2,ok,0.0035713729999997668,53602304.0,0.240445405572125,66.7501264367816,44027200.0,0,10,7,841,3.029426263000005,87,25,
512,4,ok,0.007254327000055127,93449216.0,0.47347469207410625,66.73982352941178,83873088.0,0,10,7,414,2.93705485199996,85,23,
512,8,ok,0.013804670000013175,173142528.0,0.928751823654539,68.22972093023255,163564864.0,0,10,7,218,2.967444316000069,86,22,
512,16,ok,0.0248167460000559,399767040.0,1.704799196764895,68.83360465116282,322948416.0,0,10,7,121,2.996802271999968,86,18,
512,32,ok,0.0496602640000674,784393728.0,3.41580094763104,69.00980232558142,641715520.0,1,10,7,61,3.0193371200000456,86,23,
512,64,ok,0.09915157499995075,1553647616.0,6.761783053783783,68.19415294117647,1279249728.0,0,10,7,31,3.0738012809999873,85,25,
512,102,ok,0.23756423099996482,2613152768.0,16.39195727651783,67.89504761904762,2036321600.0,0,10,7,13,3.138600709000002,84,27,
512,128,ok,0.2900549650000812,3092425728.0,20.073221279141816,68.00979310344826,2554318144.0,0,10,7,11,3.2466711629999736,87,30,
512,178,ok,0.4173602529999698,4498537472.0,28.582186223892656,68.35236363636365,3550465344.0,0,10,7,10,4.1815944180000315,110,35,
512,244,ok,0.5695789749998994,6055920128.0,38.89127436190664,68.1448947368421,4865379648.0,1,10,7,10,5.707144242000027,152,47,
512,256,ok,0.5918574360000548,6169170944.0,40.47491066210779,68.33875308641976,5104454976.0,0,10,7,10,5.922687909000047,162,46,
